都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,定休日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
042056,0000000636,宮城県,気仙沼市,ちょいのぞきセレクト　大島でSUP体験！,チョイノゾキセレクト　オオシマデスタンドアップバトルタイケン！,,,宮城県気仙沼市魚市場前7-13　気仙沼海の市2階,,38.899971,141.579941,不定休,,,8:30～17:00,"一般　　　6,500円　
小中高生　6,500円　　
※小学生以上対象",,～ちょいのぞきの魅力の一つは、観光業以外の様々な事業者が参画していること。普段は水産業や農業に従事している事業者が、日頃の仕事や暮らしを面白く体験してもらえるように、工夫をこらしてプログラムを運営しています。学びと遊びの両面から楽しめるよう工夫を凝らしています。～ハワイ発祥のマリンスポーツ！SUPとは「スタンド・アップ・パドル」といってボードの上に立ってパドルを漕ぐ、今話題のマリンスポーツです。インストラクターがつきますので、初めての方でも遊び感覚で体験できます♪,,"お車をご利用の場合
◆東北自動車道「一関IC」下車→国道284号線を気仙沼方面へ約1時間10分
◆三陸道「気仙沼IC」下車→国道45号線を気仙沼方面へ約15分

公共交通機関をご利用の場合
◆JR一ノ関駅より大船渡線→気仙沼駅下車→タクシーで10分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",,,気仙沼観光コンベンション協会,0226-22-4560,,,,https://kesennuma-kanko.jp/cyoiselect_oshimasup/,
042081,0000000637,宮城県,角田市,勝楽山高蔵寺・阿弥陀堂,ショウラクサンコウゾウジ・アミダドウ,,,宮城県角田市高倉字寺前49,,37.985577,140.70372,お問い合わせください,,,お問い合わせください,"拝観/要予約
拝観料/個人300円、団体200円（20名以上）、高校生以下無料",,高蔵寺阿弥陀堂は平泉文化の流れを汲んでおり、奥州藤原氏3代目藤原秀衡の妻により建立されました。阿弥陀堂は1177年に建立され、現存する宮城県最古の木造建築物となっています。平安時代の建造物は全国でも26箇所しか残っておらず、阿弥陀堂としては7箇所だけで岩手県の平泉中尊寺金色堂、福島県のいわき白水阿弥陀堂と並ぶ東北三大阿弥陀堂の一つとなっています。,,"仙台方面から車で約60分
東北自動車道白石ＩＣから車で約20分
常磐自動車道山元ＩＣから車で約20分",約15台,,高蔵寺,0224-65-2038,,,,http://www.city.kakuda.lg.jp/syoko/page00110.shtml,
042081,0000000638,宮城県,角田市,旧佐藤家住宅,キュウサトウケジュウタク,,,宮城県角田市高倉字寺前50,,37.985577,140.70372,年末年始,,,9：00～16：00,無料,,江戸時代中期（18世紀中頃）の仙台領主中農家の家屋とされ、国の指定を受け昭和47年に現在の場所に移築・復元されました。国指定重要文化財に指定されています。,,"仙台方面から車で約60分
東北自動車道白石ＩＣから車で約20分
常磐自動車道山元ＩＣから車で約20分",約15台,,角田市教育委員会生涯学習課　文化財保護係,0224-62-2527,,,,https://www.pref.miyagi.jp/soshiki/bunkazai/11satou.html,
042056,0000000639,宮城県,気仙沼市,気仙沼ベイクルーズ遊覧船,ケセンヌマベイクルーズユウランセン,,,宮城県気仙沼市南町海岸1-11　商業施設「ないわん」PIRE７内,,38.905647,141.575211,お問い合わせください。,,,9:00～17:00,"大人　1,600円
子供　800円
団体　要確認",,　観光シーズンに定期運航される「気仙沼ベイクルーズ遊覧船」のほか、貸し切りでの運航（最大300名）や、気仙沼湾サンセット＆ナイトクルージング（不定期での企画）など、様々な船内イベントクルーズを提供することが可能です。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約10分
　（仙台方面から）三陸自動車道気仙沼港ICから約10分
公共交通機関をご利用の場合
◆JR気仙沼駅よりタクシーで約10分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中	",66台（乗り場近くの市営駐車場）,,大島汽船株式会社,0226-23-3315,,,,http://oshimakisen.com/,
042081,0000000640,宮城県,角田市,福應寺毘沙門堂　ムカデの絵馬館,フクオウジビシャモンドウ　ムカデノエマカン,,,宮城県角田市鳩原字寺44,,38.062702,140.820526,要問合せ,,,要問合せ,"大人300円
（見学には事前予約が必要です）",,"仙南地域では明治時代を中心に養蚕が盛んで、角田市ではムカデは養蚕の守り神とされてきました。養蚕の敵、ネズミを追い払うためにムカデを絵馬に書いて奉納。近隣はもとより県内、山形、福島からも人々は祈願に訪れました。国の重要有形民俗文化財として指定された絵馬は23,000枚を超えます。展示室には約300枚が展示され、一定期間ごとに入れ替わります。",,"仙台方面から車で約50分
常磐自動車道山元ＩＣから車で約20分",あり,,福應寺,0224-69-2029,,,,http://kokokakuda.jp/?page_id=13962,
042056,0000000641,宮城県,気仙沼市,気仙沼市魚市場水産情報等発信施設,ケセンヌマシウオイチバスイサンジョウホウトウハッシンシセツ,,,宮城県気仙沼市南町海岸1-11,,38.905647,141.575211,年末年始,,,9:00～17:00,無料,,　気仙沼市の産業の心臓である気仙沼市魚市場の建物内に2019年4月にオープンした施設。館内では、ミニチュアアニメでサンマの棒受漁を紹介するプロジェクションマッピングや、 漁師が利用するスナックを再現したコーナーなど、ユニークな展示がずらり。時間内であれば自由に見学できます。　オススメは、入り口中央にデーンとおかれた世界地図。この世界地図は普通の地図ではなく，気仙沼の船がどこでどんな魚を獲っているかが一目でわかります。また、実際に市場で活躍していたフォークリフトを使った「市場でＧＯ」や、操舵スタンドや魚群探知機など，気仙沼の船が使う貴重な実物が展示され、子どもから大人まで幅広い世代が楽しめます。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約8分
　（仙台方面から）三陸自動車道気仙沼港ICから約7分
公共交通機関をご利用の場合
◆JR一ノ関駅より大船渡線→気仙沼駅下車→タクシーで約10分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",25台,,気仙沼市産業部水産課魚市場係,0226-22-7119,,,,https://kesennuma-kanko.jp/,
042161,0000000642,宮城県,富谷市,しんまち公園,シンマチコウエン,,,宮城県富谷市富谷原下3番1,,38.400368,140.890854,無,,,無,無料,,池の周りに緑の遊歩道があり、心地良い水辺散策が楽しめます。水と緑あふれる爽快感、開放感で多くの人を和ませています。平成６年度「手作り郷土賞」の「人々が集い憩う水辺づくり部門」で建設大臣表彰を受賞。,,"地下鉄泉中央駅から車で約２０分
仙台北部道路富谷ＩＣから車で約５分",250台,,富谷市産業観光課,022-358-0524,,,,,
041009,0000000643,宮城県,仙台市,晩翠草堂,バンスイソウドウ,,,宮城県仙台市青葉区大町1-2-2,,38.259502,140.869095,月曜日（祝祭日の場合は翌日）、年末年始（12月29日～1月3日）,,,9：00～17：00,なし,,詩人、英文学者として有名な土井晩翠の旧居。昭和24（1949）年から亡くなるまでをここで過ごしました。土井晩翠は、明治4（1871）年仙台市北鍛冶町に生まれ、本名を土井林吉（つちい・りんきち）といいます。晩翠は第二高等学校（現在の東北大学）教授をつとめ、昭和24年初めての仙台市名誉市民に、また昭和25年に詩人として初めて文化勲章を受け、昭和27（1952）年、80歳で死去しました。明治34（1901）年に発表された「荒城の月」（作曲：滝廉太郎）は、不朽の名作として知られています。※最新情報は公式サイト等でご確認ください。,,"地下鉄：東西線「青葉通一番町」駅下車徒歩5分
バス：JR仙台駅西口バスプール11番乗り場「八木山動物公園駅」行きほか「晩翠草堂前」下車徒歩3分、又は、16番のりば るーぷる仙台「晩翠草堂前」下車すぐ",,,,022-224-3548,,,,http://www.city.sendai.jp/sesakukoho/kurashi/shisetsu/kokyo/bunka/bunka-tenji/1518.html,
042064,0000000644,宮城県,白石市,全日本こけしコンクール,ゼンニホンコケシコンクール,,,宮城県白石市鷹巣東2-1-1,,37.996441,140.637894,,,,,入場無料,,全国の工人が技を競う日本最大のこけしの祭典です。地元の弥治郎系伝統こけしをはじめとし、新型こけしや創作こけしも勢ぞろいします。こけし工人の実演販売や白石市の地場産品を販売する地場産品まつりも同時開催します。<br>5月3日は市内で白石市民春まつりも開催し、市内全体が賑わう1日となっています。,,"JR東北新幹線「白石蔵王駅」より徒歩5分
JR東北本線「白石駅」より徒歩で20分
東北自動車道「白石IC」より車で15分",260台+臨時駐車場,,全日本こけしコンクール事務局（白石市商工観光課内）,0224-22-1321,,,,https://alljapan-kokeshi.com,
042056,0000000645,宮城県,気仙沼市,気仙沼市東日本大震災遺構・伝承館,ケセンヌマシヒガシニホンダイシンサイイコウ　デンショウカン,,,宮城県気仙沼市波路上瀬向9-1,,38.830994,141.589661,"毎週月曜日、祝日の翌日、年末年始
（詳しくはホームページをご確認下さい）",,,"4月～9月　9:30～17:00（最終受付16：00）
10月～3月　9：30～16：00（最終受付15：00）","大人　600円
子供　高校生：400円
　　　小中学生：300円
団体　上記料金から１００円引
　　　（３０名以上・要予約）",,　気仙沼市東日本大震災遺構・伝承館は、将来にわたり震災の記憶と教訓を伝え、警鐘を鳴らし続ける「目に見える証」として活用し、気仙沼市が目指す「津波死ゼロのまちづくり」に寄与することを目的に整備された施設です。　ご要望に応じて館内を語り部ガイドがご案内いたします。語り部から震災当時の話を聞きながら見学することで、よりいっそう東日本大震災に対する理解が深まります。（要予約・有料）,,"お車でお越しの方
（岩手県方面から）三陸自動車道岩井崎ICから約9分
　（仙台方面から）三陸自動車道大谷海岸ICから約10分
公共交通機関（BRT）でお越しの方
　JR「陸前階上駅」からタクシーで約3分（徒歩約20分）","113台（うち障がい者用2台）
大型バス：17台",,気仙沼市東日本大震災遺構・伝承館,0226-28-9671,,,,http://www.kesennuma-memorial.jp/,
042056,0000000646,宮城県,気仙沼市,レンタサイクル,レンタサイクル,,,宮城県気仙沼市古町一丁目5-23　気仙沼駅前観光案内所　,,38.909302,141.55954,年末年始,,,8:30～17:00,"・電動自転車　1日1,500円、2時間700円
・普通自転車　1日1,000円、2時間500円
 （各拠点での乗り捨ての場合は+500円）",,気仙沼駅前にある観光案内所でレンタサイクルを貸し出しております。（有料）気仙沼海の市観光サービスセンターとウェルカムターミナルでも貸し出し＆乗り捨てができます。市内を周遊するのに便利な交通手段です。<br>,,"気仙沼駅まで
〇ＪＲ仙台駅〈東北新幹線　約30分〉 → ＪＲ一ノ関駅〈JR大船渡線または高速バス　約95分〉 → ＪＲ気仙沼駅　　　　　　　　　　　
〇仙台駅前40番〈高速バス気仙沼行　約180分〉 → 気仙沼駅前 
※東北道経由のみ、三陸道経由は気仙沼市役所下車、徒歩約15分　　　",,,"気仙沼駅前観光案内所
気仙沼観光コンベンション協会
大島ウェルカム・ターミナル","0226-22-4669（気仙沼駅前観光案内所）
0226-22-4560（気仙沼観光コンベンション協会）
0226-28-9253（大島ウェルカム・ターミナル）",,,,https://kesennuma-kanko.jp/,
042056,0000000647,宮城県,気仙沼市,ないわん,ナイワン,,,宮城県気仙沼市南町海岸1-14,,38.905647,141.575211,各店舗による,,,各店舗による,各店舗による,,　商業観光施設「迎(ムカエル)」、「結(ユワエル)」、「拓(ヒラケル)」、まちづくりの拠点施設「創(ウマレル)」の4施設から成り、まち歩きや買い物が楽しめるスポットです。地元の食材を使ったグルメを楽しむのはもちろん、ここでしかゲットできないお土産を探してみるのもおすすめ。施設のすぐ側では漁船の係留風景も楽しめます。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約10分
　（仙台方面から）三陸自動車道気仙沼港ICから約10分
公共交通機関をご利用の場合
◆JR気仙沼駅よりタクシーで約10分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",66台（市営駐車場）,,気仙沼地域開発株式会社,0226-48-5091,,,,https://www.kesennuma-naiwan.jp/,
042056,0000000648,宮城県,気仙沼市,気仙沼　みしおね横丁,ケセンヌマ　ミシオネヨコチョウ,,,宮城県気仙沼市魚市場前4-5,,38.899067,141.580658,各店舗による,,,各店舗による,各店舗による,,　2019年夏にオープンした、トレーラーハウス型の店舗集合型横丁「みしおね横丁」には、気仙沼にこれまでなかった個性的なお店が集まっています。<br>　場所は、気仙沼の顔とも言える「気仙沼魚市場」のすぐそばで、観光物産施設「海の市」の隣。気仙沼港周辺にはホテルも多く、朝の魚市場見学の後や、お土産を購入後にホッと一息つきたい時、ホテルに帰る前に一杯飲んで帰りたい時など、観光で訪れた方が便利に利用できる場所にあるのも魅力です。<br>　トレーラー型の店舗は、食堂、銭湯、BAR、メキシカン料理、沖縄料理、インドネシア料理、ラーメン店、ムショラ（イスラム教のお祈りをする場所）、などバラエティに富んでいます。まちの人や、観光でいらっしゃった方、漁師さんに、故郷を離れて港町で働くインドネシアの方も楽しく過ごせる横丁です。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約8分
　（仙台方面から）三陸自動車道気仙沼港ICから約7分
公共交通機関をご利用の場合
◆JR気仙沼駅よりタクシーで約10分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",10台,,気仙沼 鶴亀の湯・鶴亀食堂,0226-25-8834,,,,,
042056,0000000649,宮城県,気仙沼市,安波山,アンバサン,,,宮城県気仙沼市町裏,,38.912556,141.569031,,,,,,,　気仙沼湾と市街地を一望できる標高239ｍの山。「航海の安全と大漁を祈願する」という由来から名付けられた、港まち・気仙沼のシンボルの一つです。古来中国の「風水思想」で重なる山並みを龍脈と呼んでいたことにちなみ、山の5合目には龍をイメージとした「安波山公園」が整備されています。公園の入口では2頭の龍が出迎え、「りゅうの階段」、「ひのでのてらす」、「ほしのてらす」など、登山道にも仕掛けが施されており、緑豊かな憩いの公園として親しまれています。山頂からは、復興が進むまちの様子が一望でき、解説版も整備されています。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約8分
　（仙台方面から）三陸自動車道気仙沼港ICから約16分
公共交通機関をご利用の場合
◆JR気仙沼駅よりタクシーで約10分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",20台,,気仙沼観光コンベンション協会,0226-22-4560,,,,https://kesennuma-kanko.jp/anbasan/,
042056,0000000650,宮城県,気仙沼市,徳仙丈山,トクセンジョウサン,,,宮城県気仙沼市赤岩物見,,38.847797,141.501068,,,,,,,　日本一のツツジの名所と呼び声高い徳仙丈山は、気仙沼市と旧本吉町の境にそびえる標高711ｍの山です。自生するヤマツツジとレンゲツツジは50ｈa(東京ドーム約10個分)もの広範囲にわたり、その数は実に50万本とも言われます。5月中旬から下旬にかけて満開を迎え、圧倒的なスケール感で咲き誇り、山全体を赤やオレンジに染め上げます。<br>　山頂からの景色は、紅く染まる山肌と太平洋のコバルトブルーとの絶妙なコントラストで、思わず息をのんでしまうほどの鮮やかさです。季節限定の絶景をご堪能ください。,,"お車をご利用の場合
◆三陸自動車道「気仙沼中央IC」から約30分
公共交通機関をご利用の場合
◆JR気仙沼駅よりタクシーで約40分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",200台,,気仙沼観光コンベンション協会,0226-22-4560,,,,http://kesennuma-kanko.jp/,
042056,0000000651,宮城県,気仙沼市,リアス・アーク美術館,リアスアークビジュツカン,,,宮城県気仙沼市赤岩牧沢138-5,,38.880306,141.553589,"月・火・祝日の翌日(土・日を除く)
年末年始及びメンテナンス休館
（12月26日～1月17日）",,,9：30～16：30,"大人　一般500円
　　　大学・専門400円
　　　高校生300円
子供　小中学生150円
　　　未就学児無料
団体　上記金額より100円引
　　　※小中学生は50円引
　　　※20名以上",,常設展◆東日本大震災の記録と津波の災害史<br>　平成23年3月11日に発生した「東日本大震災」大津波は、当圏域（気仙沼市・南三陸町）沿岸部各地に甚大な被害をもたらしました。当館では「震災被害を後世に伝え、通じて地域文化の再生に寄与する」という新たな使命を担い、平成25年度より「東日本大震災の記録と津波の災害史」と銘打った常設展を公開しています。発災からこれまでに学芸員らが取材した記録写真や収集した被災物を展示するとともに、併せて過去の津波災害の歴史を繙き、その実態と影響などについて多角度から検証、考察します。津波に関する知見を深め、津波災害と地域文化の関係、海とともに生きる地域の未来を考える場とします。◆収蔵美術作品展　～圏域作家と当館所縁の作家<br>　収蔵美術作品展では、東北・北海道、当地域に所縁ある作家の絵画・彫刻・工芸・版画・現代美術など多様な美術作品約40点を紹介しています。◆歴史・民俗資料館　<br>「方舟日記（はこぶねにっき）－海と山を生きるリアスなくらし－」<br>　歴史・民俗資料展では、「方舟日記（はこぶねにっき）－海と山を生きるリアスな暮らし－」と題し、当館所蔵の資料をもとに、手書きイラストや写真などを交え、「食」をキーワードに地域文化を紹介しています。縄文時代から現代までの漁撈を中心とするリアス地域の歴史や様々な習俗、生活文化などの一部を中心としています。,,"お車をご利用の場合
◆三陸自動車道「気仙沼中央IC」から約10分
公共交通機関をご利用の場合
◆JR気仙沼駅よりタクシーで約10分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中","50台
大型バスも駐車可能",,リアス・アーク美術館,0226-24-1611,,,,http://rias-ark.sakura.ne.jp/2/,
042129,0000000652,宮城県,登米市,みやぎの明治村,ミヤギノメイジムラ,,,宮城県登米市登米町寺池桜小路,,38.653992,141.280167,12月28日～1月4日,,,9：00～16：30,"大人：200円～400円
高校生：150円～300円
小・中学生：100～200円
6施設共通観覧券有
20名以上からの団体割引有",,教育資料館（重要文化財・旧登米高等尋常小学校）、警察資料館（県指定文化財・旧登米警察署庁舎）のハイカラな洋風建築物、廃藩置県当時に置かれた水沢県庁記念館（旧水沢県庁庁舎）や重厚な蔵造りの商家など明治を偲ばせる建物が多く現存しており、その町並みから「みやぎの明治村」と呼ばれています。また、少し横道に入ると藩政時代の武家屋敷や史跡も随所に残っており、当時の面影を今に伝えています。,,"ＪＲ東北新幹線「くりこま高原駅」から車で約40分
ＪＲ東北本線「石越駅」から車で約30分
ＪＲ気仙沼線「柳津駅」からバスで約10分
東北自動車道「築館ＩＣ」から約35分
三陸自動車道「登米ＩＣ」から約5分
仙台駅から高速バスで約97分",,,（株）とよま振興公社,0220-52-5566,,,,http://toyoma.co.jp/,
042056,0000000653,宮城県,気仙沼市,鹿折金山資料館,シシオリキンザンシリョウカン,,,宮城県気仙沼市上東側根14,,38.977894,141.566879,火曜日,,,10：00～16：00,無料,,　奥州藤原氏の都・平泉の黄金文化を支えたとも伝えられる鹿折金山。明治時代には国内十大金山の一つに数えられ、日本の近代化に貢献しました。明治37年に採掘された&ldquo;モンスターゴールド&rdquo;は重さ約2.25kg、金含有量約83％の怪物金。米国セントルイス万国博覧会に出展し、称賛されました。<br>　平成24年10月にリニューアルオープンした資料館では、この巨大な金塊の写真のほか、当時の金鉱石、工具、文献などを展示、金山の歴史の一端を紹介しています。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約14分
　（仙台方面から）三陸自動車道浦島大島ICから約16分
公共交通機関をご利用の場合
◆JR気仙沼駅よりタクシーで約20分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",10台,,鹿折金山資料館,0226-29-5008,,,,https://kesennuma-kanko.jp/shishiorikinzan/,
042056,0000000654,宮城県,気仙沼市,野杜海,ノドカ,,,宮城県気仙沼市磯草328,,38.87151,141.607956,各店舗による,,,各店舗による,各店舗による,,カフェや鮮魚店など5店舗が集まり、2019年7月にオープンした「野杜海（のどか）」は、敷地内に広がる芝の「野」と、島の緑をイメージさせる「杜」、大島の海からとった「海」にちなみ名づけられました。<br>すべてのお店でコンセプトにしているのが「地産地消」。魚介はもちろんのこと、野菜や特産の柚子など、地元食材を生かしたグルメを楽しめるのが最大の魅力です。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約8分
　（仙台方面から）三陸自動車道浦島大島ICから約7分
公共交通機関をご利用の場合
◆JR「気仙沼駅」下車→タクシーで約20分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",,,合同会社野杜海,090-6626-0853,,,,https://kesennuma-nodoka.com/,
042129,0000000655,宮城県,登米市,長沼フートピア公園,ナガヌマフートピアコウエン,,,宮城県登米市迫町北方字天形161番地84,,38.703506,141.166428,"●公園内　　　　　　　年中無休 
●キャンプ場エリア　　12月中旬～２月末(冬季期間) 
●公園案内所　　　　　12月29日～１月３日(年末年始) 
●ふるさと物産館　　　12月31日午後～１月２日(年末年始) ",,,"【公園案内所】8:30～17:00
【ふるさと物産館】10:00～17:30 ",,,長沼の湖畔にそびえ立つオランダ風車がシンボルの長沼フートピア公園。公園内には、長大なローラー滑り台、アスレチック遊具やふるさと物産館、キャンプ場などがあり、家族で遊べるスケールの大きな公園です。春には色鮮やかなチューリップが咲き誇り、夏には「はすまつり」や「ふるさと花火ｉｎ長沼」などのイベントが開かれます。,,"三陸自動車道 登米I.Cから車で約25分
JR東北本線 新田駅から車で約15分 ",,,長沼フートピア公園,0220-22-7600,,,,http://fp-naganuma.co.jp/,
042056,0000000656,宮城県,気仙沼市,小田の浜海水浴場,コダノハマカイスイヨクジョウ,,,宮城県気仙沼市中山,,38.846863,141.624542,,,,,,,　小田の浜海水浴場は緑の真珠・大島の東部にあり、半円形のカーブを描いた美しい砂浜を誇る海水浴場です。かつては環境省選定の「快水浴場百選」で特選（全国2位）に入るなど、美しい景観と水質環境は高い評価を受けていました。東日本大震災による地盤沈下などで大半の砂が流失し、海岸もがれきで埋め尽くされるなど大きな被害を受けました。しかし、地元住民や全国のボランティアによる地道な清掃活動によって環境が改善され、平成24年には県内で唯一の海開きを行うことができました。目前の大前見島が風を遮るため、波静かな遠浅の海水浴場として、シーズン中は県内外からも多くの人が訪れます。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約10分
　（仙台方面から）三陸自動車道浦島大島ICから約10分
公共交通機関をご利用の場合
◆JR「気仙沼駅」下車→タクシーで約20分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",70台,,気仙沼大島観光協会,0226-28-3000,,,,http://www.oshima-kanko.jp/see/kodanohama.html,
042056,0000000657,宮城県,気仙沼市,田中浜,タナカハマ,,,宮城県気仙沼市外畑,,38.86359,141.620529,,,,,,,　気仙沼大島の東岸に位置する浜。周辺には休暇村気仙沼大島や、震災後再建された「みちびき地蔵」や「体験四阿」などがあります。海水浴場としての利用はできず遊泳禁止ですが、シーズンにはイベントで賑わい、SUPなどのマリンアクティビティにも利用されています。綺麗な海を楽しめる絶景スポットです。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約10分
　（仙台方面から）三陸自動車道浦島大島ICから約10分
公共交通機関をご利用の場合
◆JR気仙沼駅からタクシーで約20分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",12台,,気仙沼大島観光協会,0226-28-3000,,,,https://kesennuma-kanko.jp/tanakahama/,
042056,0000000658,宮城県,気仙沼市,亀山,カメヤマ,,,宮城県気仙沼市亀山,,38.875511,141.615173,,,,,,,大島の北側に位置する標高235ｍの山です。山頂の展望台からは、気仙沼市内や、岩井崎方面をはじめリアス海岸の大パノラマが広がり、天気の良い日は金華山まで望むことができます。また、夜には、気仙沼市街の夜景や漁火、そして満天の星空を見ることもできます。レストハウスや四阿（あずまや）といった施設も整備されており、雄大な景色を眺めながらゆったりした時間を過ごせます。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約14分
　（仙台方面から）三陸自動車道浦島大島ICから約13分
公共交通機関をご利用の場合
◆JR「気仙沼駅」下車→タクシーで約25分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",60台（中腹駐車場）,,気仙沼大島観光協会,0226-28-3000,,,,https://kesennuma-kanko.jp/kameyama/,
042056,0000000659,宮城県,気仙沼市,龍舞崎,タツマイザキ,,,宮城県気仙沼市横沼地内,,38.83606,141.623505,,,,,,,大島の最南端にある、大島を代表する景勝地の一つ。クロマツ林に覆われた遊歩道を進むと岬の先端に灯台があり、そこから望む海には、海食による男性的な奇岩が見られます。太平洋の荒波が打ち寄せる様は、まさに龍が舞い上がるかのよう。入江の形状から名付けられた&ldquo;馬の背&rdquo;や乙姫様が流れ着いたという伝説が残る&ldquo;乙姫岩屋&rdquo;という名勝もあります。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約15分
　（仙台方面から）三陸自動車道浦島大島ICから約15分
公共交通機関をご利用の場合
◆JR「気仙沼駅」下車→タクシーで約25分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中","40台
大型バス1台",,気仙沼大島観光協会,0226-28-3000,,,,http://www.oshima-kanko.jp/see/tatsumaizaki.html,
042056,0000000660,宮城県,気仙沼市,気仙沼大島大橋,ケセンヌマオオシマオオハシ,,,宮城県気仙沼市三ノ浜,,38.888847,141.610809,,,,,,,　「鶴亀大橋」の愛称で呼ばれる気仙沼大島大橋は、全国でも珍しい大型のアーチ橋です。橋の長さ（アーチ支間長）は297ｍと東日本で1番。全国でも、愛媛の大三島橋とならび3番目の長さを誇ります。歩道があるので、海を眺めながら歩くこともできます。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約5分
　（仙台方面から）三陸自動車道浦島大島ICから約4分
公共交通機関をご利用の場合
◆JR「気仙沼駅」下車→タクシーで約15分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",,,気仙沼観光コンベンション協会,0226-22－4560,,,,http://kesennuma-kanko.jp/,
042056,0000000661,宮城県,気仙沼市,漁火パーク,イサリビパーク,,,宮城県気仙沼市唐桑町北中98-18,,38.897587,141.651962,木曜日,,,"漁火ごだい（併設レストラン）
11:00～13:40、17:30～19:00
（水曜日は11:00～13:40のみ）
※変更の可能性がございますので、お問い合わせください。",,,　唐桑半島の中央に位置する、標高221ｍの早馬山。その中腹にある漁火パークからは唐桑半島の海を見下ろすことができ、併設のレストランでは旬の食材を使った料理を味わうこともできます。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道陸前高田長部ICから約18分
　（仙台方面から）三陸自動車道唐桑半島ICから約9分
公共交通機関をご利用の場合
◆JR気仙沼駅よりタクシーで約20分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",,,漁火パーク,0226-32-4340,,,,http://kesennuma-kanko.jp/,
042056,0000000662,宮城県,気仙沼市,宮城オルレ「気仙沼・唐桑コース」,ミヤギオルレ　ケセンヌマカラクワコース,,,宮城県気仙沼市唐桑町崎浜4-３,,38.862385,141.670212,※唐桑半島ビジターセンター　　火曜日・祝日の翌日,,,※案内所　唐桑半島ビジターセンター　8：30～16：30,"無料
※ガイド希望の場合、1時間3,000円より。",,2018年10月7日にオープンした「宮城オルレ」最初のコース。　　　　　　　　　　　　　　　　気仙沼市唐桑半島の先端にある唐桑半島ビジターセンターから、三陸復興国立公園の代表的な景勝地「巨釜・半造」までの約10㎞のトレッキングコースです。変化に富んだリアスの海岸線と、潮騒の聞こえる森の道、小さな神社への参道などを歩き、海と共に生きてきた唐桑の人々の暮らしや文化に触れることができます。全て歩くと4時間程度かかりますが、コースの一部だけを歩いたり、浜辺や飲食店などに寄り道したり、それぞれのペースで自由に歩けるのもオルレの魅力です。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道陸前高田長部ICから約24分
　（仙台方面から）三陸自動車道唐桑半島ICから約17分
公共交通機関をご利用の場合
◆JR一ノ関駅より大船渡線→気仙沼駅下車→タクシーで約30分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",60台,,唐桑町観光協会（唐桑半島ビジターセンター内）,0226-32-3029,,,,http://www.karakuwa.com/,
